###,params,-i64,-r128,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelb-ll_lazy_2,lpd48corelb-ll_coupling_2,lpd48corelf-ll_harris_opt_2,lpd48corelb-ll_optik_gl_2,lpd48corelb-ll_optik_2,lpd48corelb-ll_pugh_2,
#cores,throughput,throughput,throughput,throughput,throughput,throughput,
1,6591905,1525815,5249070,6544904,6064685,6669961,
2,7713130,286134,7034958,5560679,7260990,8149862,
4,9044959,454298,9652204,5483543,9421663,9869515,
6,9074003,560252,10620448,5611431,10285220,10570673,
8,8788220,673866,11149582,5264494,10271532,10063556,
10,8436524,656994,10901765,4762498,10491654,9825398,
12,8102202,335880,10813936,4606992,10417764,9495272,
14,7827769,254398,10915377,4032027,10306211,9099708,
16,7495469,209737,10718560,3308977,10339496,9045902,
18,7222793,188699,10591157,2967511,10179763,8676169,
20,7107920,170807,10432963,2611194,10114575,8523346,
22,6847449,144954,10379543,2185813,10121226,8359451,
24,6618301,139532,10383999,1842955,10138078,8229898,
26,6497868,122763,10251685,1774059,10056614,8075139,
28,6407252,112995,10215081,1540079,10053232,7985434,
30,6297412,104462,10232992,1434595,9950142,7973349,
32,6144753,96477,10060704,1282939,9959873,7838993,
34,5986582,90035,10044436,1245884,9881651,7714645,
36,5838707,84215,9994079,1170051,9745388,7617933,
38,5024717,69760,9963717,1163603,9238362,6690681,
40,4191092,54691,10001279,1151446,8623269,5730968,
42,3656481,44970,9956630,1145272,8024942,5020093,
44,3215079,39346,10116016,1148507,7656093,4287481,
46,2590785,31631,9957412,1155561,7433774,3404363,
48,2115975,31293,9979774,1152898,6690796,2821254,
52,1356886,22543,9877011,1148070,6077921,2286571,
56,1167910,20560,9813464,1138953,5541916,1681769,
60,947918,18255,9840935,1132674,5235859,1206294,
64,792781,14504,9865990,1120709,5016395,1067261,
