###,params,-i65534,-p40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,././bin/lpd48core/lf-qu_ms,./bin/lpd48core/lb-qu_ms,./bin/lpd48core/lb-qu_ms_hybrid,
#cores,throughput,%linear,scalability,throughput,%linear,scalability,throughput,%linear,scalability,
1,31439793,100.00,1,25561158,100.00,1,31066675,100.00,1,
2,7140308,11.36,0.23,2478146,4.85,0.10,6145899,9.89,0.20,
4,3146777,2.50,0.10,2145240,2.10,0.08,3032833,2.44,0.10,
6,2504098,1.33,0.08,2207070,1.44,0.09,2579467,1.38,0.08,
8,2289920,0.91,0.07,2164734,1.06,0.08,2282850,0.92,0.07,
10,2109232,0.67,0.07,2155928,0.84,0.08,2010286,0.65,0.06,
12,2035116,0.54,0.06,2150273,0.70,0.08,1941643,0.52,0.06,
14,1863501,0.42,0.06,2101584,0.59,0.08,1734771,0.40,0.06,
16,1642821,0.33,0.05,2171657,0.53,0.08,1684131,0.34,0.05,
18,1478677,0.26,0.05,2170483,0.47,0.08,1464530,0.26,0.05,
20,1320984,0.21,0.04,2170258,0.42,0.08,1401290,0.23,0.05,
22,1167848,0.17,0.04,2147746,0.38,0.08,1190580,0.17,0.04,
24,1036794,0.14,0.03,2100004,0.34,0.08,1107163,0.15,0.04,
26,969145,0.12,0.03,2105990,0.32,0.08,1060509,0.13,0.03,
28,807712,0.09,0.03,2098912,0.29,0.08,904326,0.10,0.03,
30,766194,0.08,0.02,2046471,0.27,0.08,852279,0.09,0.03,
32,658746,0.07,0.02,2059007,0.25,0.08,788297,0.08,0.03,
34,629518,0.06,0.02,2121484,0.24,0.08,761753,0.07,0.02,
36,560630,0.05,0.02,1929809,0.21,0.08,605300,0.05,0.02,
38,597751,0.05,0.02,11933,0.00,0.00,42974,0.00,0.00,
40,572050,0.05,0.02,8896,0.00,0.00,25334,0.00,0.00,
42,594696,0.05,0.02,9877,0.00,0.00,23470,0.00,0.00,
44,605491,0.04,0.02,12511,0.00,0.00,20473,0.00,0.00,
46,569207,0.04,0.02,13387,0.00,0.00,21986,0.00,0.00,
48,598921,0.04,0.02,7111,0.00,0.00,26707,0.00,0.00,
52,597250,0.04,0.02,9770,0.00,0.00,17291,0.00,0.00,
56,739631,0.04,0.02,8699,0.00,0.00,29613,0.00,0.00,
60,616591,0.03,0.02,4572,0.00,0.00,17223,0.00,0.00,
64,1084823,0.05,0.03,6939,0.00,0.00,24547,0.00,0.00,
